Rank,Country,Happiness 2021,Happiness 2020,2022 Population
124,Jordan,4.395,4.633,"10,300,869"
125,Chad,4.355,4.423,"17,413,580"
126,Sri Lanka,4.325,4.327,"21,575,842"
127,Eswatini,4.308,4.308,"1,184,817"
128,Comoros,4.289,4.289,"907,419"
129,Egypt,4.283,4.151,"106,156,692"
130,Ethiopia,4.275,4.186,"120,812,698"
131,Mauritania,4.227,4.375,"4,901,981"
132,Madagascar,4.208,4.166,"29,178,077"
133,Togo,4.107,4.187,"8,680,837"
134,Zambia,4.073,3.759,"19,470,234"
135,Sierra Leone,3.849,3.926,"8,306,436"
136,India,3.819,3.573,"1,406,631,776"
137,Burundi,3.775,3.775,"12,624,840"
138,Yemen,3.658,3.527,"31,154,867"
139,Tanzania,3.623,3.476,"63,298,550"
140,Haiti,3.615,3.721,"11,680,283"
141,Malawi,3.6,3.538,"20,180,839"
142,Lesotho,3.512,3.653,"2,175,699"
143,Botswana,3.467,3.479,"2,441,162"
144,Rwanda,3.415,3.312,"13,600,464"
145,Zimbabwe,3.145,3.299,"15,331,428"
146,Afghanistan,2.523,2.567,"40,754,388"
